Month,Transfer_Efficiency,Discharge_Effectiveness,Pipeline_Throughput,System_Backlog,Backlog_Accumulation,Net_Flow
2023-01,0.8726991581843334,0.032084282144830584,7.9626334337743305,7413.5,-201.125,-197.5
2023-02,0.8698568405146286,0.03503218693018031,6.080987475190672,7967.105263157895,-173.52631578947367,-134.0
2023-03,0.7523191721975162,0.0356129610416695,2.326750245612315,8190.473684210527,-152.42105263157896,-104.0
2023-04,0.77437634053894,0.0344352888209864,1.969588711636853,8092.857142857143,-120.9047619047619,-81.0
2023-05,0.8473879236918809,0.034681348177039356,3.4690787349462386,8404.09090909091,-159.54545454545453,-119.72727272727273
2023-06,0.8518819657290754,0.03270330824965513,2.636605442280361,6282.1,-112.75,-80.65
2023-07,0.7854057808622886,0.03079182725311562,1.6515218947213282,7073.380952380952,-73.76190476190476,-24.285714285714285
2023-08,0.7746908664807071,0.03439921095330794,2.4652825062980877,9585.1,-185.95,-144.15
2023-09,0.7447806789131056,0.032164033173357344,2.4010898595627146,10992.368421052632,-176.42105263157896,-135.52631578947367
2023-10,0.9263402393593947,0.03430588053617629,6.148195897788125,10308.227272727272,-280.54545454545456,-254.95454545454547
2023-11,0.8844411850935063,0.030898978516023447,2.7994104980809507,9909.6,-184.65,-139.7
2023-12,0.8915170369405331,0.03235318762458537,3.3315227484072536,11255.263157894737,-241.94736842105263,-194.68421052631578
2024-01,0.814465243742355,0.03348630666062703,4.008304624643843,9021.636363636364,-199.95454545454547,-165.72727272727272
2024-02,0.7284019329912156,0.031744989247100355,1.2043970685823462,8766.8,-37.8,52.95
2024-03,0.7945428030145111,0.032396029232177846,1.8080446693945138,8703.857142857143,-109.57142857142857,-22.333333333333332
2024-04,0.7768550913136294,0.02909243806759704,1.4398927503130141,7336.318181818182,-47.72727272727273,32.0
2024-05,0.7369174119488433,0.027568440517611294,1.3104505441759156,7836.047619047619,-40.142857142857146,40.857142857142854
2024-06,0.8358188686531379,0.03162067517488486,1.5530454198751396,7691.476190476191,-73.0952380952381,-1.380952380952381
2024-07,0.8539916337270819,0.02959421690379866,1.5941575938421435,6498.761904761905,-63.61904761904762,-10.476190476190476
2024-08,0.738490039996008,0.026986931526031127,1.2941172386668391,6258.736842105263,-21.94736842105263,24.894736842105264
2024-09,0.7706977610071711,0.027029271751451287,1.4567445296632386,6452.636363636364,-41.31818181818182,13.409090909090908
2024-10,0.7881504474066985,0.025220534759558797,1.257696404351053,6276.285714285715,-21.80952380952381,32.95238095238095
2024-11,0.7784508051102009,0.026738260243988843,1.1976650907765523,6151.421052631579,-17.736842105263158,21.736842105263158
2024-12,0.7759142327679719,0.025889874288914014,1.190629204219441,6690.409090909091,-8.272727272727273,33.31818181818182
2025-01,0.9161441377615849,0.030515118143611478,3.052358025261377,5080.045454545455,-91.77272727272727,-71.81818181818181
2025-02,0.9082462784546457,0.02058782813908535,3.6392976470964755,2804.2105263157896,-44.63157894736842,-43.10526315789474
2025-03,0.4289957571686951,0.006402668985647598,2.531278005620111,2185.909090909091,-6.363636363636363,-5.409090909090909
2025-04,0.4305770829353065,0.003878404299086946,1.3723415189527721,2298.0,-0.6086956521739131,1.173913043478261
2025-05,0.4460045242486665,0.0047344222740096495,1.0046398046398046,2439.777777777778,0.6666666666666666,2.611111111111111
2025-06,0.44058480830313,0.0066518362458505105,3.0245290272971936,2511.470588235294,-9.294117647058824,-8.411764705882353
2025-07,0.30544961574373336,0.008553166924894301,6.599659863945579,2201.1428571428573,-15.523809523809524,-14.666666666666666
2025-08,0.3108910589425175,0.006349301355779748,2.4795833333333333,2026.9,-7.35,-5.35
2025-09,0.3434155488635737,0.005167966867024442,1.4598269748670818,2118.0454545454545,-1.5,1.0454545454545454
2025-10,0.39423879178533655,0.005174659649320786,1.9379179022036166,2265.3809523809523,-3.5238095238095237,1.0
2025-11,0.2862173448126271,0.003613654823737509,1.8965462899673426,2360.684210526316,-1.5789473684210527,1.2105263157894737
2025-12,0.25630121575562786,0.003923013791907898,1.4470791245791248,2481.4666666666667,-1.8666666666666667,-1.3333333333333333
